Package,Version
xarray,2024.10.0
certifi,2024.8.30
pytz,2024.2
tzdata,2024.2
setuptools,65.5.0
cryptography,43.0.3
pyzmq,26.2.0
pip,24.3.1
pyOpenSSL,24.2.1
packaging,24.2
rich,13.9.4
pillow,11.0.0
ipython,8.29.0
jupyter-client,8.6.3
zope.interface,7.1.1
ipykernel,6.29.5
importlib-resources,6.4.5
tornado,6.4.1
psutil,6.1.0
PyYAML,6.0.2
pymc,5.18.1
traitlets,5.14.3
jupyter-core,5.7.2
cachetools,5.5.0
DateTime,5.5
decorator,5.1.1
atpublic,5.0
tqdm,4.67.0
fonttools,4.54.1
typing-extensions,4.12.2
pexpect,4.9.0
platformdirs,4.3.6
widgetsnbextension,4.0.13
filelock,3.16.1
snowflake-connector-python,3.12.3
h5py,3.12.1
idna,3.10
matplotlib,3.9.2
threadpoolctl,3.5.0
charset-normalizer,3.4.0
pyparsing,3.2.0
jinja2,3.1.4
cloudpickle,3.1.0
prompt-toolkit,3.0.48
jupyterlab-widgets,3.0.13
MarkupSafe,3.0.2
markdown-it-py,3.0.0
requests,2.32.3
pytensor,2.26.3
pydantic-core,2.23.4
pycparser,2.22
pygments,2.18.0
pydantic,2.9.2
python-dateutil,2.9.0.post0
PyJWT,2.9.0
asttokens,2.4.1
sortedcontainers,2.4.0
pandas,2.2.3
urllib3,2.2.3
executing,2.1.0
numpy,1.26.4
cffi,1.17.1
six,1.16.0
scipy,1.14.1
debugpy,1.8.8
nest-asyncio,1.6.0
scikit-learn,1.5.2
asn1crypto,1.5.1
kiwisolver,1.4.7
joblib,1.4.2
h5netcdf,1.4.1
contourpy,1.3.1
cmdstanpy,1.2.4
prophet,1.1.6
miniKanren,1.0.3
snowflake-core,1.0.1
patsy,1.0.1
snowflake,1.0.1
snowflake-legacy,1.0.0
toolz,1.0.0
multipledispatch,1.0.0
holidays,0.61
graphviz,0.20.3
arviz,0.20.0
jedi,0.19.2
statsmodels,0.14.4
tomlkit,0.13.2
seaborn,0.13.2
cycler,0.12.1
parso,0.8.4
xarray-einstats,0.8.0
ptyprocess,0.7.0
annotated-types,0.7.0
stack-data,0.6.3
stanio,0.5.1
cons,0.4.6
logical-unification,0.4.6
CausalPy,0.4.0
etuples,0.3.9
wcwidth,0.2.13
pure-eval,0.2.3
comm,0.2.2
matplotlib-inline,0.1.7
appnope,0.1.4
mdurl,0.1.2
pycausalimpact,0.1.1
